iter	RMSE
0	10.73583309
1	8.422996965
2	6.956572083
3	6.358316179
4	5.928251943
5	5.67853039
6	5.546794103
7	5.459212179
8	5.385077126
9	5.30951517
10	5.22770455
11	5.185236041
12	5.161648976
13	5.094527867
14	5.05172643
15	4.942401315
16	4.900818525
17	4.830570689
18	4.791668832
19	4.763340688
20	4.714986633
21	4.649236984
22	4.634122747
23	4.581866005
24	4.514902433
25	4.479797731
26	4.472300443
27	4.460134515
28	4.403006603
29	4.388431372
30	4.383620381
31	4.334356294
32	4.331836268
33	4.287132411
34	4.260420167
35	4.212093674
36	4.156094488
37	4.120397781
38	4.096784334
39	4.034092629
40	3.976371877
41	3.946491455
42	3.915349471
43	3.893671882
44	3.874698362
45	3.825958086
46	3.823770623
47	3.767362784
48	3.716605505
49	3.714954921
